IdJob,Arrival,Departure,ResponseTime,size,Isspike
404,5042.023174802947,5097.055415812558,55.032241009610516,20.78598352116376,false
407,5076.935537480638,5097.7475530345,20.812015553861784,6.5505297331619445,false
408,5082.241251961251,5098.862824582504,16.621572621253108,5.897229787628686,false
409,5134.470339685976,5138.664677893717,4.194338207741566,4.19433820774173,false
410,5139.2457167235325,5141.4914106563465,2.2456939328139924,1.8111367041382653,false
413,5150.670097940695,5158.415450382417,7.745352441721479,2.463979758689485,false
411,5140.622296198995,5184.755523640233,44.13322744123798,19.16504867714181,false
414,5157.001797719805,5190.9759352098035,33.97413748999861,12.243643369710364,false
412,5147.2856979130065,5208.348773762055,61.0630758490488,33.41924852884269,false
415,5209.48053668261,5210.495570302879,1.0150336202686958,1.0150336202682793,false
416,5220.052985361747,5235.286087533164,15.233102171417158,15.233102171417439,false
417,5238.4575546188025,5248.070552832352,9.612998213549872,6.480710285465268,false
419,5266.748391291285,5274.876858487494,8.128467196209385,4.064233598104679,false
418,5241.805976976183,5285.978246083264,44.172269107080865,36.97574758089146,false
